timestamp,risk_status,risk_probability,anomaly_status,reconstruction_error,flagged_sensors
2025-04-24 05:44:34,No Risk,0.4977,Normal,0.01312,
2025-04-24 05:44:39,Risk of Failure,0.5693,Anomaly Detected,0.02452,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:55:27,No Risk,0.4863,Anomaly Detected,0.03743,"Torque, Fuel_Efficiency"
2025-04-24 05:55:32,No Risk,0.4429,Normal,0.00936,
2025-04-24 05:55:37,No Risk,0.4713,Normal,0.01689,
2025-04-24 05:55:42,No Risk,0.4945,Normal,0.00862,
2025-04-24 05:55:48,No Risk,0.4715,Normal,0.00792,
2025-04-24 05:55:53,No Risk,0.4999,Normal,0.00337,
2025-04-24 05:55:58,Risk of Failure,0.6678,Anomaly Detected,0.03786,"Vibration_Z, Power_Output (kW)"
2025-04-24 05:56:03,Risk of Failure,0.6552,Normal,0.00771,
2025-04-24 05:56:08,No Risk,0.4588,Normal,0.00807,
2025-04-24 05:56:13,Risk of Failure,0.5504,Anomaly Detected,0.02123,"RPM, Operational_Mode"
2025-04-24 05:56:18,No Risk,0.4617,Normal,0.01682,
2025-04-24 05:56:23,Risk of Failure,0.8186,Anomaly Detected,0.02591,"Torque, Temperature (°C)"
2025-04-24 05:56:28,No Risk,0.4977,Normal,0.01312,
2025-04-24 05:56:33,Risk of Failure,0.5693,Anomaly Detected,0.02452,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:56:39,Risk of Failure,0.6073,Anomaly Detected,0.03825,"RPM, Vibration_Z"
2025-04-24 05:56:44,Risk of Failure,0.8305,Anomaly Detected,0.04283,"Torque, RPM"
2025-04-24 05:56:49,No Risk,0.4691,Normal,0.00755,
2025-04-24 05:56:54,No Risk,0.4683,Anomaly Detected,0.02348,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:56:59,Risk of Failure,0.5081,Normal,0.01246,
2025-04-24 05:57:04,Risk of Failure,0.5064,Normal,0.00917,
2025-04-24 05:57:09,Risk of Failure,0.6322,Normal,0.00673,
2025-04-24 05:57:14,Risk of Failure,0.5917,Normal,0.00727,
2025-04-24 05:57:19,No Risk,0.4513,Normal,0.00409,
2025-04-24 05:57:24,No Risk,0.4707,Normal,0.00111,
2025-04-24 05:57:30,Risk of Failure,0.763,Normal,0.01016,
2025-04-24 05:57:35,Risk of Failure,0.6371,Normal,0.0127,
2025-04-24 05:57:40,Risk of Failure,0.6083,Anomaly Detected,0.04176,"Fuel_Efficiency, Power_Output (kW)"
2025-04-24 05:57:45,No Risk,0.4727,Anomaly Detected,0.02271,"Vibration_Z, Vibration_X"
2025-04-24 05:57:50,No Risk,0.4968,Normal,0.00632,
2025-04-24 05:57:55,Risk of Failure,0.5271,Normal,0.0128,
2025-04-24 05:58:00,No Risk,0.4915,Normal,0.00814,
2025-04-24 05:58:05,Risk of Failure,0.6521,Normal,0.01589,
2025-04-24 05:58:10,No Risk,0.3977,Normal,0.00443,
